date,driver_id,gender,age,number_of_kids,online_hours,day_of_week,day_of_week_name
2017-06-04,111839,1,25,0,6.7875,6,Sunday
2017-06-05,111839,1,25,0,6.783333333333333,0,Monday
2017-06-06,111839,1,25,0,5.1125,1,Tuesday
2017-06-07,111839,1,25,0,5.0875,2,Wednesday
2017-06-08,111839,1,25,0,5.5125,3,Thursday
2017-06-09,111839,1,25,0,6.4625,4,Friday
2017-06-10,111839,1,25,0,7.2125,5,Saturday
2017-06-11,111839,1,25,0,5.441666666666666,6,Sunday
2017-06-12,111839,1,25,0,4.779166666666667,0,Monday
2017-06-13,111839,1,25,0,5.783333333333333,1,Tuesday
2017-06-14,111839,1,25,0,5.445833333333334,2,Wednesday
2017-06-15,111839,1,25,0,5.758333333333334,3,Thursday
2017-06-16,111839,1,25,0,7.05,4,Friday
2017-06-17,111839,1,25,0,5.966666666666667,5,Saturday
2017-06-18,111839,1,25,0,5.420833333333333,6,Sunday
2017-06-19,111839,1,25,0,6.979166666666667,0,Monday
2017-06-20,111839,1,25,0,5.154166666666667,1,Tuesday
2017-06-21,111839,1,25,0,6.245833333333334,2,Wednesday
2017-06-01,112486,0,44,1,2.529166666666667,3,Thursday
2017-06-02,112486,0,44,1,3.0541666666666667,4,Friday
2017-06-03,112486,0,44,1,0.0,5,Saturday
2017-06-04,112486,0,44,1,0.0,6,Sunday
2017-06-05,112486,0,44,1,4.054166666666666,0,Monday
2017-06-06,112486,0,44,1,3.8916666666666666,1,Tuesday
2017-06-07,112486,0,44,1,1.1125,2,Wednesday
2017-06-08,112486,0,44,1,3.6958333333333333,3,Thursday
2017-06-09,112486,0,44,1,3.370833333333333,4,Friday
2017-06-10,112486,0,44,1,0.0,5,Saturday
2017-06-11,112486,0,44,1,0.0,6,Sunday
2017-06-12,112486,0,44,1,1.2541666666666667,0,Monday
2017-06-13,112486,0,44,1,0.4,1,Tuesday
2017-06-14,112486,0,44,1,2.004166666666667,2,Wednesday
2017-06-15,112486,0,44,1,1.3791666666666667,3,Thursday
2017-06-16,112486,0,44,1,2.9916666666666667,4,Friday
2017-06-17,112486,0,44,1,0.0,5,Saturday
2017-06-18,112486,0,44,1,0.0,6,Sunday
2017-06-19,112486,0,44,1,2.275,0,Monday
2017-06-20,112486,0,44,1,3.4541666666666666,1,Tuesday
2017-06-21,112486,0,44,1,4.1375,2,Wednesday
2017-06-01,112609,1,55,0,7.104166666666667,3,Thursday
2017-06-02,112609,1,55,0,5.3,4,Friday
2017-06-03,112609,1,55,0,4.266666666666667,5,Saturday
2017-06-04,112609,1,55,0,5.470833333333333,6,Sunday
2017-06-05,112609,1,55,0,4.325,0,Monday
2017-06-06,112609,1,55,0,6.179166666666666,1,Tuesday
2017-06-07,112609,1,55,0,4.054166666666666,2,Wednesday
2017-06-08,112609,1,55,0,3.495833333333333,3,Thursday
2017-06-09,112609,1,55,0,3.85,4,Friday
2017-06-10,112609,1,55,0,0.0,5,Saturday
2017-06-11,112609,1,55,0,4.266666666666667,6,Sunday
2017-06-12,112609,1,55,0,4.820833333333334,0,Monday
2017-06-13,112609,1,55,0,3.8125,1,Tuesday
2017-06-14,112609,1,55,0,3.033333333333333,2,Wednesday
2017-06-15,112609,1,55,0,6.291666666666667,3,Thursday
2017-06-16,112609,1,55,0,6.016666666666667,4,Friday
2017-06-17,112609,1,55,0,5.570833333333334,5,Saturday
2017-06-18,112609,1,55,0,2.9916666666666667,6,Sunday
2017-06-19,112609,1,55,0,3.95,0,Monday
2017-06-20,112609,1,55,0,5.020833333333333,1,Tuesday
2017-06-21,112609,1,55,0,3.1708333333333334,2,Wednesday
2017-06-01,112698,1,43,3,0.7333333333333333,3,Thursday
2017-06-02,112698,1,43,3,2.0541666666666667,4,Friday
2017-06-03,112698,1,43,3,0.0,5,Saturday
2017-06-04,112698,1,43,3,5.454166666666667,6,Sunday
2017-06-05,112698,1,43,3,0.7666666666666667,0,Monday
2017-06-06,112698,1,43,3,3.725,1,Tuesday
2017-06-07,112698,1,43,3,4.420833333333333,2,Wednesday
2017-06-08,112698,1,43,3,0.0,3,Thursday
2017-06-09,112698,1,43,3,3.8208333333333333,4,Friday
2017-06-10,112698,1,43,3,0.0,5,Saturday
2017-06-11,112698,1,43,3,5.108333333333333,6,Sunday
2017-06-12,112698,1,43,3,1.4375,0,Monday
2017-06-13,112698,1,43,3,3.5833333333333335,1,Tuesday
2017-06-14,112698,1,43,3,1.475,2,Wednesday
2017-06-15,112698,1,43,3,3.254166666666667,3,Thursday
2017-06-16,112698,1,43,3,3.0,4,Friday
2017-06-17,112698,1,43,3,0.0,5,Saturday
2017-06-18,112698,1,43,3,5.741666666666666,6,Sunday
2017-06-19,112698,1,43,3,2.8625,0,Monday
2017-06-20,112698,1,43,3,1.6708333333333334,1,Tuesday
2017-06-21,112698,1,43,3,4.645833333333333,2,Wednesday
2017-06-01,112730,1,31,3,3.8583333333333334,3,Thursday
2017-06-02,112730,1,31,3,3.6166666666666667,4,Friday
2017-06-03,112730,1,31,3,0.0,5,Saturday
2017-06-04,112730,1,31,3,0.0,6,Sunday
2017-06-05,112730,1,31,3,0.0,0,Monday
2017-06-06,112730,1,31,3,3.591666666666667,1,Tuesday
2017-06-07,112730,1,31,3,2.6958333333333333,2,Wednesday
2017-06-08,112730,1,31,3,1.0,3,Thursday
2017-06-09,112730,1,31,3,1.4,4,Friday
2017-06-10,112730,1,31,3,0.0,5,Saturday
2017-06-11,112730,1,31,3,0.0,6,Sunday
2017-06-12,112730,1,31,3,0.0,0,Monday
2017-06-13,112730,1,31,3,0.9166666666666666,1,Tuesday
2017-06-14,112730,1,31,3,2.8208333333333333,2,Wednesday
2017-06-15,112730,1,31,3,4.583333333333333,3,Thursday
2017-06-16,112730,1,31,3,2.0083333333333333,4,Friday
2017-06-17,112730,1,31,3,0.0,5,Saturday
2017-06-18,112730,1,31,3,0.0,6,Sunday
2017-06-19,112730,1,31,3,0.0,0,Monday
2017-06-20,112730,1,31,3,1.575,1,Tuesday
2017-06-21,112730,1,31,3,2.5458333333333334,2,Wednesday
2017-06-01,113043,1,28,0,7.7,3,Thursday
2017-06-02,113043,1,28,0,5.054166666666666,4,Friday
2017-06-03,113043,1,28,0,0.0,5,Saturday
2017-06-04,113043,1,28,0,0.0,6,Sunday
2017-06-05,113043,1,28,0,5.066666666666666,0,Monday
2017-06-06,113043,1,28,0,6.975,1,Tuesday
2017-06-07,113043,1,28,0,0.0,2,Wednesday
2017-06-08,113043,1,28,0,6.179166666666666,3,Thursday
2017-06-09,113043,1,28,0,4.629166666666666,4,Friday
2017-06-10,113043,1,28,0,0.0,5,Saturday
2017-06-11,113043,1,28,0,0.0,6,Sunday
2017-06-12,113043,1,28,0,7.725,0,Monday
2017-06-13,113043,1,28,0,7.029166666666667,1,Tuesday
2017-06-14,113043,1,28,0,0.0,2,Wednesday
2017-06-15,113043,1,28,0,5.658333333333333,3,Thursday
2017-06-16,113043,1,28,0,7.495833333333334,4,Friday
2017-06-17,113043,1,28,0,0.0,5,Saturday
2017-06-18,113043,1,28,0,0.0,6,Sunday
2017-06-19,113043,1,28,0,4.25,0,Monday
2017-06-20,113043,1,28,0,6.029166666666667,1,Tuesday
2017-06-21,113043,1,28,0,0.0,2,Wednesday
2017-06-01,113140,1,18,0,6.6125,3,Thursday
2017-06-02,113140,1,18,0,6.9875,4,Friday
2017-06-03,113140,1,18,0,5.3875,5,Saturday
2017-06-04,113140,1,18,0,6.933333333333334,6,Sunday
2017-06-05,113140,1,18,0,1.1458333333333333,0,Monday
2017-06-06,113140,1,18,0,5.416666666666667,1,Tuesday
2017-06-07,113140,1,18,0,4.85,2,Wednesday
2017-06-08,113140,1,18,0,6.7375,3,Thursday
2017-06-09,113140,1,18,0,7.0375,4,Friday
2017-06-10,113140,1,18,0,5.845833333333333,5,Saturday
2017-06-11,113140,1,18,0,6.633333333333334,6,Sunday
2017-06-12,113140,1,18,0,6.804166666666666,0,Monday
2017-06-13,113140,1,18,0,1.5833333333333333,1,Tuesday
2017-06-14,113140,1,18,0,7.008333333333334,2,Wednesday
2017-06-15,113140,1,18,0,6.1,3,Thursday
2017-06-16,113140,1,18,0,6.929166666666666,4,Friday
2017-06-17,113140,1,18,0,6.508333333333334,5,Saturday
2017-06-18,113140,1,18,0,7.783333333333333,6,Sunday
2017-06-19,113140,1,18,0,8.404166666666667,0,Monday
2017-06-20,113140,1,18,0,8.029166666666667,1,Tuesday
2017-06-21,113140,1,18,0,6.870833333333334,2,Wednesday
2017-06-01,114890,1,73,1,3.8208333333333333,3,Thursday
2017-06-02,114890,1,73,1,4.8375,4,Friday
2017-06-03,114890,1,73,1,5.104166666666667,5,Saturday
2017-06-04,114890,1,73,1,0.0,6,Sunday
2017-06-05,114890,1,73,1,6.55,0,Monday
2017-06-06,114890,1,73,1,6.2875,1,Tuesday
2017-06-07,114890,1,73,1,3.8375,2,Wednesday
2017-06-08,114890,1,73,1,6.720833333333333,3,Thursday
2017-06-09,114890,1,73,1,4.633333333333334,4,Friday
2017-06-10,114890,1,73,1,6.970833333333333,5,Saturday
2017-06-11,114890,1,73,1,0.0,6,Sunday
2017-06-12,114890,1,73,1,4.616666666666666,0,Monday
2017-06-13,114890,1,73,1,4.741666666666666,1,Tuesday
2017-06-14,114890,1,73,1,4.391666666666667,2,Wednesday
2017-06-15,114890,1,73,1,3.095833333333333,3,Thursday
2017-06-16,114890,1,73,1,6.0625,4,Friday
2017-06-17,114890,1,73,1,5.341666666666667,5,Saturday
2017-06-18,114890,1,73,1,0.0,6,Sunday
2017-06-19,114890,1,73,1,5.508333333333334,0,Monday
2017-06-20,114890,1,73,1,5.275,1,Tuesday
2017-06-21,114890,1,73,1,4.975,2,Wednesday
2017-06-01,115159,1,64,2,2.370833333333333,3,Thursday
2017-06-02,115159,1,64,2,0.0,4,Friday
2017-06-03,115159,1,64,2,3.8208333333333333,5,Saturday
2017-06-04,115159,1,64,2,4.541666666666667,6,Sunday
2017-06-05,115159,1,64,2,4.233333333333333,0,Monday
2017-06-06,115159,1,64,2,2.7125,1,Tuesday
2017-06-07,115159,1,64,2,0.0,2,Wednesday
2017-06-08,115159,1,64,2,1.4083333333333334,3,Thursday
2017-06-09,115159,1,64,2,2.4583333333333335,4,Friday
2017-06-10,115159,1,64,2,3.9,5,Saturday
2017-06-11,115159,1,64,2,6.8125,6,Sunday
2017-06-12,115159,1,64,2,1.5791666666666666,0,Monday
2017-06-13,115159,1,64,2,3.629166666666667,1,Tuesday
2017-06-14,115159,1,64,2,1.0583333333333333,2,Wednesday
2017-06-15,115159,1,64,2,3.8541666666666665,3,Thursday
2017-06-16,115159,1,64,2,3.2083333333333335,4,Friday
2017-06-17,115159,1,64,2,5.6875,5,Saturday
2017-06-18,115159,1,64,2,3.404166666666667,6,Sunday
2017-06-19,115159,1,64,2,2.1416666666666666,0,Monday
2017-06-20,115159,1,64,2,1.9041666666666666,1,Tuesday
2017-06-21,115159,1,64,2,3.779166666666667,2,Wednesday
2017-06-01,115363,1,30,0,6.795833333333333,3,Thursday
2017-06-02,115363,1,30,0,6.608333333333333,4,Friday
2017-06-03,115363,1,30,0,5.266666666666667,5,Saturday
2017-06-04,115363,1,30,0,6.733333333333333,6,Sunday
2017-06-05,115363,1,30,0,7.3875,0,Monday
2017-06-06,115363,1,30,0,7.183333333333334,1,Tuesday
2017-06-07,115363,1,30,0,5.9625,2,Wednesday
2017-06-08,115363,1,30,0,5.458333333333333,3,Thursday
2017-06-09,115363,1,30,0,7.183333333333334,4,Friday
2017-06-10,115363,1,30,0,8.229166666666666,5,Saturday
2017-06-11,115363,1,30,0,8.6625,6,Sunday
2017-06-12,115363,1,30,0,7.445833333333334,0,Monday
2017-06-13,115363,1,30,0,7.1875,1,Tuesday
2017-06-14,115363,1,30,0,7.808333333333334,2,Wednesday
2017-06-15,115363,1,30,0,5.295833333333333,3,Thursday
2017-06-16,115363,1,30,0,7.404166666666667,4,Friday
2017-06-17,115363,1,30,0,7.1375,5,Saturday
2017-06-18,115363,1,30,0,8.375,6,Sunday
2017-06-19,115363,1,30,0,7.829166666666667,0,Monday
2017-06-20,115363,1,30,0,6.775,1,Tuesday
2017-06-21,115363,1,30,0,5.416666666666667,2,Wednesday
2017-06-01,115812,1,51,1,3.55,3,Thursday
2017-06-02,115812,1,51,1,0.0,4,Friday
2017-06-03,115812,1,51,1,0.0,5,Saturday
2017-06-04,115812,1,51,1,0.0,6,Sunday
2017-06-05,115812,1,51,1,3.345833333333333,0,Monday
2017-06-06,115812,1,51,1,4.633333333333334,1,Tuesday
2017-06-07,115812,1,51,1,4.4375,2,Wednesday
2017-06-08,115812,1,51,1,5.445833333333334,3,Thursday
2017-06-09,115812,1,51,1,0.0,4,Friday
2017-06-10,115812,1,51,1,0.0,5,Saturday
2017-06-11,115812,1,51,1,0.0,6,Sunday
2017-06-12,115812,1,51,1,4.183333333333334,0,Monday
2017-06-13,115812,1,51,1,3.625,1,Tuesday
2017-06-14,115812,1,51,1,4.908333333333333,2,Wednesday
2017-06-15,115812,1,51,1,4.975,3,Thursday
2017-06-16,115812,1,51,1,0.0,4,Friday
2017-06-17,115812,1,51,1,0.0,5,Saturday
2017-06-18,115812,1,51,1,0.0,6,Sunday
2017-06-19,115812,1,51,1,4.179166666666666,0,Monday
2017-06-20,115812,1,51,1,5.866666666666666,1,Tuesday
2017-06-21,115812,1,51,1,6.404166666666667,2,Wednesday
2017-06-01,116007,1,31,1,6.716666666666667,3,Thursday
2017-06-02,116007,1,31,1,0.0,4,Friday
2017-06-03,116007,1,31,1,8.525,5,Saturday
2017-06-04,116007,1,31,1,8.404166666666667,6,Sunday
2017-06-05,116007,1,31,1,4.329166666666667,0,Monday
2017-06-06,116007,1,31,1,6.245833333333334,1,Tuesday
2017-06-07,116007,1,31,1,6.625,2,Wednesday
2017-06-08,116007,1,31,1,7.691666666666666,3,Thursday
2017-06-09,116007,1,31,1,4.879166666666666,4,Friday
2017-06-10,116007,1,31,1,4.308333333333334,5,Saturday
2017-06-11,116007,1,31,1,4.791666666666667,6,Sunday
2017-06-12,116007,1,31,1,4.758333333333334,0,Monday
2017-06-13,116007,1,31,1,8.029166666666667,1,Tuesday
2017-06-14,116007,1,31,1,5.520833333333333,2,Wednesday
2017-06-15,116007,1,31,1,5.025,3,Thursday
2017-06-16,116007,1,31,1,7.091666666666667,4,Friday
2017-06-17,116007,1,31,1,5.779166666666667,5,Saturday
2017-06-18,116007,1,31,1,5.220833333333333,6,Sunday
2017-06-19,116007,1,31,1,7.520833333333333,0,Monday
2017-06-20,116007,1,31,1,8.0125,1,Tuesday
2017-06-21,116007,1,31,1,6.466666666666667,2,Wednesday
2017-06-01,117677,1,46,0,3.275,3,Thursday
2017-06-02,117677,1,46,0,0.0,4,Friday
2017-06-03,117677,1,46,0,4.758333333333334,5,Saturday
2017-06-04,117677,1,46,0,0.0,6,Sunday
2017-06-05,117677,1,46,0,0.5125,0,Monday
2017-06-06,117677,1,46,0,0.9458333333333333,1,Tuesday
2017-06-07,117677,1,46,0,0.6708333333333333,2,Wednesday
2017-06-08,117677,1,46,0,3.2375,3,Thursday
2017-06-09,117677,1,46,0,2.4208333333333334,4,Friday
2017-06-10,117677,1,46,0,6.816666666666666,5,Saturday
2017-06-11,117677,1,46,0,0.0,6,Sunday
2017-06-12,117677,1,46,0,1.9458333333333333,0,Monday
2017-06-13,117677,1,46,0,1.6875,1,Tuesday
2017-06-14,117677,1,46,0,1.775,2,Wednesday
2017-06-15,117677,1,46,0,2.308333333333333,3,Thursday
2017-06-16,117677,1,46,0,2.825,4,Friday
2017-06-17,117677,1,46,0,5.1625,5,Saturday
2017-06-18,117677,1,46,0,0.0,6,Sunday
2017-06-19,117677,1,46,0,3.591666666666667,0,Monday
2017-06-20,117677,1,46,0,3.0083333333333333,1,Tuesday
2017-06-21,117677,1,46,0,3.9458333333333333,2,Wednesday
2017-06-01,118193,1,48,2,2.325,3,Thursday
2017-06-02,118193,1,48,2,4.5625,4,Friday
2017-06-03,118193,1,48,2,0.0,5,Saturday
2017-06-04,118193,1,48,2,0.0,6,Sunday
2017-06-05,118193,1,48,2,0.6833333333333333,0,Monday
2017-06-06,118193,1,48,2,0.0,1,Tuesday
2017-06-07,118193,1,48,2,2.8041666666666667,2,Wednesday
2017-06-08,118193,1,48,2,1.2791666666666666,3,Thursday
2017-06-09,118193,1,48,2,0.825,4,Friday
2017-06-10,118193,1,48,2,0.0,5,Saturday
2017-06-11,118193,1,48,2,0.0,6,Sunday
2017-06-12,118193,1,48,2,4.620833333333334,0,Monday
2017-06-13,118193,1,48,2,0.0,1,Tuesday
2017-06-14,118193,1,48,2,1.75,2,Wednesday
2017-06-15,118193,1,48,2,2.2333333333333334,3,Thursday
2017-06-16,118193,1,48,2,4.308333333333334,4,Friday
2017-06-17,118193,1,48,2,0.0,5,Saturday
2017-06-18,118193,1,48,2,0.0,6,Sunday
2017-06-19,118193,1,48,2,2.7083333333333335,0,Monday
2017-06-20,118193,1,48,2,0.0,1,Tuesday
2017-06-21,118193,1,48,2,2.725,2,Wednesday
2017-06-01,119052,1,32,2,4.191666666666666,3,Thursday
2017-06-02,119052,1,32,2,4.745833333333334,4,Friday
2017-06-03,119052,1,32,2,6.420833333333333,5,Saturday
2017-06-04,119052,1,32,2,5.116666666666666,6,Sunday
2017-06-05,119052,1,32,2,7.0125,0,Monday
2017-06-06,119052,1,32,2,6.833333333333333,1,Tuesday
2017-06-07,119052,1,32,2,5.258333333333334,2,Wednesday
2017-06-08,119052,1,32,2,6.570833333333334,3,Thursday
2017-06-09,119052,1,32,2,6.845833333333333,4,Friday
2017-06-10,119052,1,32,2,5.716666666666667,5,Saturday
2017-06-11,119052,1,32,2,6.6125,6,Sunday
2017-06-12,119052,1,32,2,6.05,0,Monday
2017-06-13,119052,1,32,2,6.5875,1,Tuesday
2017-06-14,119052,1,32,2,6.975,2,Wednesday
2017-06-15,119052,1,32,2,7.833333333333333,3,Thursday
2017-06-16,119052,1,32,2,6.525,4,Friday
2017-06-17,119052,1,32,2,6.3125,5,Saturday
2017-06-18,119052,1,32,2,7.433333333333334,6,Sunday
2017-06-19,119052,1,32,2,7.8875,0,Monday
2017-06-20,119052,1,32,2,8.058333333333334,1,Tuesday
2017-06-21,119052,1,32,2,5.775,2,Wednesday
2017-06-01,119171,1,69,4,2.2666666666666666,3,Thursday
2017-06-02,119171,1,69,4,4.204166666666667,4,Friday
2017-06-03,119171,1,69,4,0.0,5,Saturday
2017-06-04,119171,1,69,4,5.666666666666667,6,Sunday
2017-06-05,119171,1,69,4,3.783333333333333,0,Monday
2017-06-06,119171,1,69,4,0.9875,1,Tuesday
2017-06-07,119171,1,69,4,0.9166666666666666,2,Wednesday
2017-06-08,119171,1,69,4,0.0,3,Thursday
2017-06-09,119171,1,69,4,4.2625,4,Friday
2017-06-10,119171,1,69,4,0.0,5,Saturday
2017-06-11,119171,1,69,4,5.6375,6,Sunday
2017-06-12,119171,1,69,4,2.9875,0,Monday
2017-06-13,119171,1,69,4,2.3208333333333333,1,Tuesday
2017-06-14,119171,1,69,4,0.8916666666666667,2,Wednesday
2017-06-15,119171,1,69,4,0.0,3,Thursday
2017-06-16,119171,1,69,4,4.666666666666667,4,Friday
2017-06-17,119171,1,69,4,0.0,5,Saturday
2017-06-18,119171,1,69,4,6.233333333333333,6,Sunday
2017-06-19,119171,1,69,4,1.4875,0,Monday
2017-06-20,119171,1,69,4,2.7708333333333335,1,Tuesday
2017-06-21,119171,1,69,4,2.8833333333333333,2,Wednesday
2017-06-01,119197,1,20,1,5.916666666666667,3,Thursday
2017-06-02,119197,1,20,1,6.329166666666667,4,Friday
2017-06-03,119197,1,20,1,7.829166666666667,5,Saturday
2017-06-04,119197,1,20,1,9.3875,6,Sunday
2017-06-05,119197,1,20,1,8.7375,0,Monday
2017-06-06,119197,1,20,1,8.091666666666667,1,Tuesday
2017-06-07,119197,1,20,1,5.579166666666667,2,Wednesday
2017-06-08,119197,1,20,1,9.175,3,Thursday
2017-06-09,119197,1,20,1,8.208333333333334,4,Friday
2017-06-10,119197,1,20,1,5.541666666666667,5,Saturday
2017-06-11,119197,1,20,1,9.420833333333333,6,Sunday
2017-06-12,119197,1,20,1,7.658333333333333,0,Monday
2017-06-13,119197,1,20,1,9.095833333333333,1,Tuesday
2017-06-14,119197,1,20,1,6.533333333333333,2,Wednesday
2017-06-15,119197,1,20,1,5.383333333333334,3,Thursday
2017-06-16,119197,1,20,1,0.0,4,Friday
2017-06-17,119197,1,20,1,7.4,5,Saturday
2017-06-18,119197,1,20,1,5.083333333333333,6,Sunday
2017-06-19,119197,1,20,1,0.0,0,Monday
2017-06-20,119197,1,20,1,8.666666666666666,1,Tuesday
2017-06-21,119197,1,20,1,8.341666666666667,2,Wednesday
2017-06-01,119624,1,30,0,6.845833333333333,3,Thursday
2017-06-02,119624,1,30,0,4.458333333333333,4,Friday
2017-06-03,119624,1,30,0,4.708333333333333,5,Saturday
2017-06-04,119624,1,30,0,0.0,6,Sunday
2017-06-05,119624,1,30,0,5.0,0,Monday
2017-06-06,119624,1,30,0,4.883333333333334,1,Tuesday
2017-06-07,119624,1,30,0,6.970833333333333,2,Wednesday
2017-06-08,119624,1,30,0,5.358333333333333,3,Thursday
2017-06-09,119624,1,30,0,5.925,4,Friday
2017-06-10,119624,1,30,0,4.4875,5,Saturday
2017-06-11,119624,1,30,0,5.683333333333334,6,Sunday
2017-06-12,119624,1,30,0,4.85,0,Monday
2017-06-13,119624,1,30,0,6.891666666666667,1,Tuesday
2017-06-14,119624,1,30,0,8.254166666666666,2,Wednesday
2017-06-15,119624,1,30,0,7.079166666666667,3,Thursday
2017-06-16,119624,1,30,0,7.383333333333334,4,Friday
2017-06-17,119624,1,30,0,7.066666666666666,5,Saturday
2017-06-18,119624,1,30,0,7.091666666666667,6,Sunday
2017-06-19,119624,1,30,0,6.4125,0,Monday
2017-06-20,119624,1,30,0,5.058333333333334,1,Tuesday
2017-06-21,119624,1,30,0,4.558333333333334,2,Wednesday
2017-06-01,120546,1,42,3,5.245833333333334,3,Thursday
2017-06-02,120546,1,42,3,6.508333333333334,4,Friday
2017-06-03,120546,1,42,3,5.566666666666666,5,Saturday
2017-06-04,120546,1,42,3,5.8375,6,Sunday
2017-06-05,120546,1,42,3,4.4875,0,Monday
2017-06-06,120546,1,42,3,7.929166666666666,1,Tuesday
2017-06-07,120546,1,42,3,6.754166666666666,2,Wednesday
2017-06-08,120546,1,42,3,7.208333333333333,3,Thursday
2017-06-09,120546,1,42,3,8.358333333333333,4,Friday
2017-06-10,120546,1,42,3,5.879166666666666,5,Saturday
2017-06-11,120546,1,42,3,8.6625,6,Sunday
2017-06-12,120546,1,42,3,7.175,0,Monday
2017-06-13,120546,1,42,3,8.154166666666667,1,Tuesday
2017-06-14,120546,1,42,3,6.770833333333333,2,Wednesday
2017-06-15,120546,1,42,3,7.0625,3,Thursday
2017-06-16,120546,1,42,3,5.841666666666667,4,Friday
2017-06-17,120546,1,42,3,8.133333333333333,5,Saturday
2017-06-18,120546,1,42,3,6.391666666666667,6,Sunday
2017-06-19,120546,1,42,3,8.270833333333334,0,Monday
2017-06-20,120546,1,42,3,7.804166666666666,1,Tuesday
2017-06-21,120546,1,42,3,7.666666666666667,2,Wednesday
2017-06-01,120644,1,21,0,8.2625,3,Thursday
2017-06-02,120644,1,21,0,8.175,4,Friday
2017-06-03,120644,1,21,0,7.041666666666667,5,Saturday
2017-06-04,120644,1,21,0,5.604166666666667,6,Sunday
2017-06-05,120644,1,21,0,8.070833333333333,0,Monday
2017-06-06,120644,1,21,0,7.833333333333333,1,Tuesday
2017-06-07,120644,1,21,0,8.008333333333333,2,Wednesday
2017-06-08,120644,1,21,0,8.145833333333334,3,Thursday
2017-06-09,120644,1,21,0,5.3375,4,Friday
2017-06-10,120644,1,21,0,0.0,5,Saturday
